Name,DisplayName,Faction,Rarity,AgeYears,Power,Speed,HeightCm,Flavor,PortraitPath,SetIndex,LoreEntryNumber,Ability0Id,Ability0Name,Ability0Text,Ability0Effect,Ability0Attribute,Ability0ParamA,Ability0ParamB,Ability1Id,Ability1Name,Ability1Text,Ability1Effect,Ability1Attribute,Ability1ParamA,Ability1ParamB
FCB_Barbed_Duelist,Barbed Duelist,AbyssalHorde,Uncommon,132,70,72,200,Bleeds on the floor and calls it a concession.,/Game/Art/Cards/abyss/T_FCB_Barbed_Duelist.T_FCB_Barbed_Duelist,4,70,FirstCharge,First Charge,"While leading, add 10% to the contested attribute.",PercentBonusWhenLeading,Power,10,0,,,,,,,
FCB_Horned_Siege_Fiend,Horned Siege Fiend,AbyssalHorde,Rare,218,78,31,950,Breaks walls the way dragons break habits.,/Game/Art/Cards/abyss/T_FCB_Horned_Siege_Fiend.T_FCB_Horned_Siege_Fiend,5,71,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,BaneOfDragons,Dragon-Bane,+16% against Dragonkind.,BonusAgainstFaction,Power,16,0
FCB_Ashfiend_Marauder,Ashfiend Marauder,AbyssalHorde,Uncommon,78,63,57,222,Burns the ledger and the accountant.,/Game/Art/Cards/abyss/T_FCB_Ashfiend_Marauder.T_FCB_Ashfiend_Marauder,6,72,Slaughtering,Slaughtering,"When Power is contested, add +5.",FlatBonusOnAttribute,Power,5,0,,,,,,,
FCB_Duke_of_the_Ninth_Cage,Duke of the Ninth Cage,AbyssalHorde,Rare,7000,87,61,266,Rules a prison he was told is a palace.,/Game/Art/Cards/abyss/T_FCB_Duke_of_the_Ninth_Cage.T_FCB_Duke_of_the_Ninth_Cage,7,73,GraveRite,Grave-Rite,"On a win, the opponent also loses their weakest card.",OnWinForceExtraCapture,Power,0,0,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0
FCB_Devourer_of_Names,Devourer of Names,AbyssalHorde,Epic,873,98,59,335,"Eat the name, keep the debts.",/Game/Art/Cards/abyss/T_FCB_Devourer_of_Names.T_FCB_Devourer_of_Names,8,74,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0,FeyTrickery,Fey Trickery,"When defending, lose by 7% or less and you win instead.",WinIfMarginWithin,Power,7,0
FCB_Chain_Iron_Colossus,Chain-Iron Colossus,AbyssalHorde,Rare,585,91,23,1450,"Dragged a mountain chain out of the pit, as a joke.",/Game/Art/Cards/abyss/T_FCB_Chain_Iron_Colossus.T_FCB_Chain_Iron_Colossus,9,75,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,Oathkeeper,Oathkeeper,"Add 4% per allied trophy in your pile, to 6 trophies.",BonusPerFactionInOwnPile,Power,4,6
FCB_Whisper_of_the_Seventh_Gate,Whisper of the Seventh Gate,AbyssalHorde,Uncommon,128,66,84,176,"Repeats your secrets, but slightly wrong.",/Game/Art/Cards/abyss/T_FCB_Whisper_of_the_Seventh_Gate.T_FCB_Whisper_of_the_Seventh_Gate,10,76,DeepRoots,Deep Roots,"When Age is contested, add 15%.",PercentBonusOnAttribute,Age,15,0,,,,,,,
FCB_The_Unbound_Archfiend,The Unbound Archfiend,AbyssalHorde,Epic,19000,110,49,425,Escaped once. Regretted it. Escaped again.,/Game/Art/Cards/abyss/T_FCB_The_Unbound_Archfiend.T_FCB_The_Unbound_Archfiend,11,77,Undying,Undying,"Once per match, this card returns to your hand instead of being captured.",OnLoseReturnToHandOnce,Power,0,0,HoardersGreed,Hoarder's Greed,"On a win, also take the top card of the deck.",OnWinTakeDeckTop,Power,0,0
FCB_Dawn_Sentry,Dawn Sentry,CelestialHost,Common,76,47,57,205,Never misses a sunrise. Has opinions about it.,/Game/Art/Cards/celestial/T_FCB_Dawn_Sentry.T_FCB_Dawn_Sentry,1,78,Thickhide,Thick Hide,"While defending, add 8% to the contested attribute.",PercentBonusWhenDefending,Power,8,0,,,,,,,
FCB_Cloudlight_Aerial,Cloudlight Aerial,CelestialHost,Common,69,53,80,163,Fights in the third dimension; everyone else in two.,/Game/Art/Cards/celestial/T_FCB_Cloudlight_Aerial.T_FCB_Cloudlight_Aerial,2,79,Surefooted,Surefooted,"When Speed is contested, add +5.",FlatBonusOnAttribute,Speed,5,0,,,,,,,
FCB_Storm_Colossus,Storm Colossus,CelestialHost,Rare,216,77,30,1800,Walks on thunder out of politeness.,/Game/Art/Cards/celestial/T_FCB_Storm_Colossus.T_FCB_Storm_Colossus,3,80,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,EmberFury,Ember Fury,"When Power is contested, add +9.",FlatBonusOnAttribute,Power,9,0
FCB_Seraph_of_the_Seven_Trumps,Seraph of the Seven Trumps,CelestialHost,Epic,690,85,69,317,Six trumpets are a warning. The seventh is the order.,/Game/Art/Cards/celestial/T_FCB_Seraph_of_the_Seven_Trumps.T_FCB_Seraph_of_the_Seven_Trumps,4,81,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0,FirstCharge,First Charge,"While leading, add 10% to the contested attribute.",PercentBonusWhenLeading,Power,10,0
FCB_Justice_Herald,Justice Herald,CelestialHost,Uncommon,81,59,60,202,"Reads the charge, then passes the sentence.",/Game/Art/Cards/celestial/T_FCB_Justice_Herald.T_FCB_Justice_Herald,5,82,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0,,,,,,,
FCB_Gale_Rider,Gale Rider,CelestialHost,Common,40,42,77,146,"Delivers verdicts and messages, mostly verdicts.",/Game/Art/Cards/celestial/T_FCB_Gale_Rider.T_FCB_Gale_Rider,6,83,,,,,,,,,,,,,,
FCB_Astral_Dragon_Slain,Astral Dragon-Slain,CelestialHost,Rare,250,73,65,276,A saint with a very specific résumé.,/Game/Art/Cards/celestial/T_FCB_Astral_Dragon_Slain.T_FCB_Astral_Dragon_Slain,7,84,BaneOfDragons,Dragon-Bane,+16% against Dragonkind.,BonusAgainstFaction,Power,16,0,,,,,,,
FCB_Throne_Warden,Throne Warden,CelestialHost,Uncommon,587,88,27,1150,Has not blinked since the second age.,/Game/Art/Cards/celestial/T_FCB_Throne_Warden.T_FCB_Throne_Warden,8,85,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,HoardMagic,Hoard-Magic,+2 score per pot card when you claim the pot.,PotScoreBonusOnWin,Power,2,0
FCB_Solar_Archon,Solar Archon,CelestialHost,Epic,5000,99,72,382,His light is a legal document.,/Game/Art/Cards/celestial/T_FCB_Solar_Archon.T_FCB_Solar_Archon,9,86,HoardersGreed,Hoarder's Greed,"On a win, also take the top card of the deck.",OnWinTakeDeckTop,Power,0,0,ColossalProwess,Colossal Prowess,"When Power is contested, add 11%.",PercentBonusOnAttribute,Power,11,0
FCB_Choir_of_Quiet_Wings,Choir of Quiet Wings,CelestialHost,Uncommon,83,56,63,207,"Sings the wounded to sleep, and the tired further on.",/Game/Art/Cards/celestial/T_FCB_Choir_of_Quiet_Wings.T_FCB_Choir_of_Quiet_Wings,10,87,ElderMemory,Elder Memory,You win ties on Age.,WinsTiesOnAttribute,Age,0,0,,,,,,,
FCB_The_Morning_That_Judges,The Morning That Judges,CelestialHost,Epic,30000,110,66,450,"Arrives at the end of every story, on time.",/Game/Art/Cards/celestial/T_FCB_The_Morning_That_Judges.T_FCB_The_Morning_That_Judges,11,88,ElderMemory,Elder Memory,You win ties on Age.,WinsTiesOnAttribute,Age,0,0,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0
FCB_Goblin_Knifer,Goblin Knifer,Beastwild,Common,24,30,72,95,Six of him is a war party.,/Game/Art/Cards/beastwild/T_FCB_Goblin_Knifer.T_FCB_Goblin_Knifer,1,89,Surefooted,Surefooted,"When Speed is contested, add +5.",FlatBonusOnAttribute,Speed,5,0,,,,,,,
FCB_Warg_Rider,Warg Rider,Beastwild,Uncommon,58,57,76,186,"Two appetites, one direction.",/Game/Art/Cards/beastwild/T_FCB_Warg_Rider.T_FCB_Warg_Rider,2,90,FirstCharge,First Charge,"While leading, add 10% to the contested attribute.",PercentBonusWhenLeading,Power,10,0,,,,,,,
FCB_Orc_War_Drummer,Orc War Drummer,Beastwild,Common,178,58,48,210,Sets the pace. The pace is violence.,/Game/Art/Cards/beastwild/T_FCB_Orc_War_Drummer.T_FCB_Orc_War_Drummer,3,91,Thickhide,Thick Hide,"While defending, add 8% to the contested attribute.",PercentBonusWhenDefending,Power,8,0,,,,,,,
FCB_Skinchanger_of_the_Long_Winter,Skinchanger of the Long Winter,Beastwild,Common,154,67,68,240,Wears three shapes and a grudge.,/Game/Art/Cards/beastwild/T_FCB_Skinchanger_of_the_Long_Winter.T_FCB_Skinchanger_of_the_Long_Winter,4,92,DeepRoots,Deep Roots,"When Age is contested, add 15%.",PercentBonusOnAttribute,Age,15,0,,,,,,,
FCB_Werewolf_Alpha,Werewolf Alpha,Beastwild,Epic,273,86,88,246,The full moon is a formality.,/Game/Art/Cards/beastwild/T_FCB_Werewolf_Alpha.T_FCB_Werewolf_Alpha,5,93,Undying,Undying,"Once per match, this card returns to your hand instead of being captured.",OnLoseReturnToHandOnce,Power,0,0,,,,,,,
FCB_Troll_of_the_Grey_Ford,Troll of the Grey Ford,Beastwild,Uncommon,116,64,34,620,"Regrows an argument, and an arm.",/Game/Art/Cards/beastwild/T_FCB_Troll_of_the_Grey_Ford.T_FCB_Troll_of_the_Grey_Ford,6,94,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0
FCB_Cave_Ogre,Cave Ogre,Beastwild,Uncommon,152,76,38,420,"Clubs, then improvises with the club.",/Game/Art/Cards/beastwild/T_FCB_Cave_Ogre.T_FCB_Cave_Ogre,7,95,ColossalProwess,Colossal Prowess,"When Power is contested, add 11%.",PercentBonusOnAttribute,Power,11,0,,,,,,,
FCB_Bog_Hag_of_the_Fen_Mother,Bog Hag of the Fen-Mother,Beastwild,Rare,600,68,52,220,Curses are her only inheritance.,/Game/Art/Cards/beastwild/T_FCB_Bog_Hag_of_the_Fen_Mother.T_FCB_Bog_Hag_of_the_Fen_Mother,8,96,GraveRite,Grave-Rite,"On a win, the opponent also loses their weakest card.",OnWinForceExtraCapture,Power,0,0,CursedRelic,Cursed,Subtract 12% from every attribute.,AlwaysPenalty,Power,-12,0
FCB_Mantikor_Prime,Mantikor Prime,Beastwild,Epic,627,97,83,283,"Lion, scorpion, and a very bad temper.",/Game/Art/Cards/beastwild/T_FCB_Mantikor_Prime.T_FCB_Mantikor_Prime,9,97,Stormstride,Stormstride,"When Speed is contested, add +9.",FlatBonusOnAttribute,Speed,9,0,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0
FCB_Goblin_Saboteur,Goblin Saboteur,Beastwild,Common,24,28,79,88,"Tunnels under the siege, out the other side of the war.",/Game/Art/Cards/beastwild/T_FCB_Goblin_Saboteur.T_FCB_Goblin_Saboteur,10,98,,,,,,,,,,,,,,
FCB_The_Long_Winter_s_Son,The Long Winter's Son,Beastwild,Epic,4000,109,91,345,"Winter's only heir, and he is early.",/Game/Art/Cards/beastwild/T_FCB_The_Long_Winter_s_Son.T_FCB_The_Long_Winter_s_Son,11,99,GiantSlayer,Giant-Slayer,+18% when the opponent's Height is above 300 cm.,BonusIfOpponentStatAbove,Height,18,300,Undying,Undying,"Once per match, this card returns to your hand instead of being captured.",OnLoseReturnToHandOnce,Power,0,0
FCB_Tidepool_Scout,Tidepool Scout,DeepwaterCourt,Common,37,40,72,110,"Small, salt, everywhere.",/Game/Art/Cards/deepwater/T_FCB_Tidepool_Scout.T_FCB_Tidepool_Scout,1,100,Surefooted,Surefooted,"When Speed is contested, add +5.",FlatBonusOnAttribute,Speed,5,0,,,,,,,
FCB_Merrow_Spearwife,Merrow Spearwife,DeepwaterCourt,Common,76,49,61,180,Trades surface trinkets for surface secrets.,/Game/Art/Cards/deepwater/T_FCB_Merrow_Spearwife.T_FCB_Merrow_Spearwife,2,101,,,,,,,,,,,,,,
FCB_Reef_Lurker,Reef Lurker,DeepwaterCourt,Common,77,60,45,260,Ambush is a tide like any other.,/Game/Art/Cards/deepwater/T_FCB_Reef_Lurker.T_FCB_Reef_Lurker,3,102,Thickhide,Thick Hide,"While defending, add 8% to the contested attribute.",PercentBonusWhenDefending,Power,8,0,,,,,,,
FCB_Sharkwere_of_the_Brine_Moon,Sharkwere of the Brine Moon,DeepwaterCourt,Uncommon,101,71,86,213,"Half sailor, half fin, all grudge.",/Game/Art/Cards/deepwater/T_FCB_Sharkwere_of_the_Brine_Moon.T_FCB_Sharkwere_of_the_Brine_Moon,4,103,FirstCharge,First Charge,"While leading, add 10% to the contested attribute.",PercentBonusWhenLeading,Power,10,0,GiantSlayer,Giant-Slayer,+18% when the opponent's Height is above 300 cm.,BonusIfOpponentStatAbove,Height,18,300
FCB_Kraken_of_the_Trench_Throne,Kraken of the Trench Throne,DeepwaterCourt,Epic,1298,100,35,3200,"Nine arms, nine ledgers, no forgiveness.",/Game/Art/Cards/deepwater/T_FCB_Kraken_of_the_Trench_Throne.T_FCB_Kraken_of_the_Trench_Throne,5,104,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,HoardersGreed,Hoarder's Greed,"On a win, also take the top card of the deck.",OnWinTakeDeckTop,Power,0,0
FCB_Drowned_King,Drowned King,DeepwaterCourt,Epic,2400,84,44,230,Rules a kingdom of silt and receipts.,/Game/Art/Cards/deepwater/T_FCB_Drowned_King.T_FCB_Drowned_King,6,105,ElderMemory,Elder Memory,You win ties on Age.,WinsTiesOnAttribute,Age,0,0,Undying,Undying,"Once per match, this card returns to your hand instead of being captured.",OnLoseReturnToHandOnce,Power,0,0
FCB_Sea_Serpent_of_the_Cold_Vein,Sea Serpent of the Cold Vein,DeepwaterCourt,Uncommon,573,87,48,2600,"Twelve miles long, according to the sailors who survived.",/Game/Art/Cards/deepwater/T_FCB_Sea_Serpent_of_the_Cold_Vein.T_FCB_Sea_Serpent_of_the_Cold_Vein,7,106,DeepRoots,Deep Roots,"When Age is contested, add 15%.",PercentBonusOnAttribute,Age,15,0,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0
FCB_Pearlbound_Oracle,Pearlbound Oracle,DeepwaterCourt,Common,520,52,46,196,"Speaks only in tides. Always right, always late.",/Game/Art/Cards/deepwater/T_FCB_Pearlbound_Oracle.T_FCB_Pearlbound_Oracle,8,107,DeepRoots,Deep Roots,"When Age is contested, add 15%.",PercentBonusOnAttribute,Age,15,0,,,,,,,
FCB_Coral_Golem,Coral Golem,DeepwaterCourt,Uncommon,212,74,22,680,A reef that decided to walk.,/Game/Art/Cards/deepwater/T_FCB_Coral_Golem.T_FCB_Coral_Golem,9,108,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0
FCB_Abyssal_Siren,Abyssal Siren,DeepwaterCourt,Rare,124,65,79,177,Her song has a clause.,/Game/Art/Cards/deepwater/T_FCB_Abyssal_Siren.T_FCB_Abyssal_Siren,10,109,FeyTrickery,Fey Trickery,"When defending, lose by 7% or less and you win instead.",WinIfMarginWithin,Power,7,0,,,,,,,
FCB_The_Tide_That_Keeps,The Tide That Keeps,DeepwaterCourt,Epic,16000,107,58,900,It takes the ships and keeps the names.,/Game/Art/Cards/deepwater/T_FCB_The_Tide_That_Keeps.T_FCB_The_Tide_That_Keeps,11,110,HoardMagic,Hoard-Magic,+2 score per pot card when you claim the pot.,PotScoreBonusOnWin,Power,2,0,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0
